ts,key,event,pos,px,realized_pct,cum_pct
2026-06-24 08:28,eth_emax,OPEN -1,-1,1670.9800,,0.000
2026-06-24 08:28,btc_emax,OPEN -1,-1,62840.0000,,0.000
2026-06-24 08:28,sol_emax,OPEN -1,-1,69.8100,,0.000
2026-06-24 08:28,ndx_tsmom,OPEN 1,1,29635.9500,,0.000
2026-06-28 13:00,sol_reg,OPEN 1,1,70.5000,,0.000
2026-06-28 13:00,sol_ibs,OPEN 1,1,70.5000,,0.000
2026-06-29 00:47,ndx_tsmom,CLOSE 1,0,29118.2400,-1.861,-1.861
2026-06-29 11:43,ndx_tsmom,OPEN 1,1,29118.2400,,-1.861
2026-06-29 13:00,sol_reg,CLOSE 1,0,71.3800,0.727,0.727
2026-06-29 13:00,sol_ibs,CLOSE 1,0,71.3800,0.727,0.727
2026-06-29 21:58,btc_roc,OPEN -1,-1,59577.0100,,0.000
