tag,symbol,entry_ts,exit_ts,entry_px,exit_px,reason,gross_bp,net_bp,mfe_bp,in_bounce
FET-TSMOM-H8,fetusdt,1780214400000,1780215300000,0.26830000,0.26570000,EARLY_KILL,-96.91,-118.91,0.00,0
SEI-TSMOM-H8,seiusdt,1780214400000,1780217100000,0.06617000,0.06616000,SL,-1.51,-23.51,61.96,0
FET-TSMOM-H12,fetusdt,1780228800000,1780229700000,0.27040000,0.26890000,EARLY_KILL,-55.47,-77.47,0.00,0
TIA-TSMOM-H12,tiausdt,1780228800000,1780231500000,0.39920000,0.40070000,SL,37.58,15.58,72.65,0
FET-TSMOM-H12,fetusdt,1780315200000,1780316100000,0.27760000,0.26660000,EARLY_KILL,-396.25,-418.25,3.60,0
SEI-TSMOM-H8,seiusdt,1780329600000,1780330500000,0.06724000,0.06671000,EARLY_KILL,-78.82,-100.82,0.00,0
SEI-TSMOM-H8,seiusdt,1780358400000,1780359300000,0.07186000,0.07058000,EARLY_KILL,-178.12,-200.12,1.39,0
APT-TSMOM-H8,aptusdt,1780358400000,1780359300000,0.94300000,0.93400000,EARLY_KILL,-95.44,-117.44,0.00,0
SUI-TSMOM-H4,suiusdt,1781236800000,1781239500000,0.75770000,0.75750000,SL,-2.64,-24.64,50.15,0
SOL-TSMOM-H4,solusdt,1781236800000,1781241300000,67.04000000,66.63000000,SL,-61.16,-81.16,29.83,0
SUI-TSMOM-H4,suiusdt,1781251200000,1781255700000,0.75150000,0.75680000,GIVEBACK,70.53,48.53,102.46,0
SEI-TSMOM-H8,seiusdt,1781251200000,1781257500000,0.04959000,0.05103000,SL,290.38,268.38,354.91,0
SOL-TSMOM-H4,solusdt,1781308800000,1781316900000,66.82000000,66.87000000,GIVEBACK,7.48,-12.52,103.26,0
SUI-TSMOM-H4,suiusdt,1781308800000,1781316900000,0.75110000,0.75180000,SL,9.32,-12.68,97.19,0
NEAR-TSMOM-H4,nearusdt,1781323200000,1781324100000,2.01400000,1.99500000,EARLY_KILL,-94.34,-116.34,0.00,0
SUI-TSMOM-H4,suiusdt,1781323200000,1781327700000,0.75090000,0.74770000,SL,-42.62,-64.62,29.30,0
SOL-TSMOM-H4,solusdt,1781337600000,1781356500000,67.37000000,67.83000000,GIVEBACK,68.28,48.28,102.42,0
INJ-TSMOM-H8,injusdt,1781366400000,1781367300000,5.29800000,5.15900000,EARLY_KILL,-262.36,-284.36,0.00,0
SOL-TSMOM-H4,solusdt,1781409600000,1781410500000,68.94000000,68.44000000,EARLY_KILL,-72.53,-92.53,1.45,0
SUI-TSMOM-H4,suiusdt,1781409600000,1781410500000,0.76880000,0.76150000,EARLY_KILL,-94.95,-116.95,0.00,0
SEI-TSMOM-H8,seiusdt,1781510400000,1781513100000,0.05507000,0.05520000,SL,23.61,1.61,88.98,0
SUI-TSMOM-H4,suiusdt,1781524800000,1781527500000,0.80880000,0.81260000,SL,46.98,24.98,87.78,0
