cfg_var,tag,symbol,kind,tf_secs,lookback,hold_bars,sl_atr_mult,atr_period,bb_k,rsi_threshold,round_trip_bp,max_history,trail_arm_atr,trail_dist_atr,trail_tighten_atr,trail_tighten_dist_atr
s43b_suiusdt_tsmom_28800_45_8_cfg,SUI-TSMOM-H8,suiusdt,TSMOM,28800,45,8,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s41_fetusdt_tsmom_h3_cfg,FET-TSMOM-H3,fetusdt,TSMOM,10800,45,24,4.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s41_imxusdt_tsmom_h6_cfg,IMX-TSMOM-H6,imxusdt,TSMOM,21600,60,18,4.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s41_avaxusdt_tsmom_h12_cfg,AVAX-TSMOM-H12,avaxusdt,TSMOM,43200,30,24,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s41_manausdt_ichi_h4_cfg,MANA-ICHI-H4,manausdt,ICHIMOKU,14400,60,12,3.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s41_nearusdt_ichi_h3_cfg,NEAR-ICHI-H3,nearusdt,ICHIMOKU,10800,30,24,4.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s41_ldousdt_tsmom_d1_cfg,LDO-TSMOM-D1,ldousdt,TSMOM,86400,12,12,4.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s41_imxusdt_ichi_h4_cfg,IMX-ICHI-H4,imxusdt,ICHIMOKU,14400,30,18,4.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s41_crvusdt_ichi_h8_cfg,CRV-ICHI-H8,crvusdt,ICHIMOKU,28800,12,24,4.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_jtousdt_tsmom_h4_cfg,JTO-TSMOM-H4,jtousdt,TSMOM,14400,60,3,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_jtousdt_tsmom_h3_cfg,JTO-TSMOM-H3,jtousdt,TSMOM,10800,18,12,3.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_jtousdt_tsmom_h8_cfg,JTO-TSMOM-H8,jtousdt,TSMOM,28800,30,8,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_bomeusdt_tsmom_h4_cfg,BOME-TSMOM-H4,bomeusdt,TSMOM,14400,45,8,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_bomeusdt_tsmom_h3_cfg,BOME-TSMOM-H3,bomeusdt,TSMOM,10800,60,3,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_injusdt_tsmom_h3_cfg,INJ-TSMOM-H3,injusdt,TSMOM,10800,60,8,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_injusdt_tsmom_h4_cfg,INJ-TSMOM-H4,injusdt,TSMOM,14400,60,8,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_enausdt_tsmom_h3_cfg,ENA-TSMOM-H3,enausdt,TSMOM,10800,45,8,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_bomeusdt_tsmom_h6_cfg,BOME-TSMOM-H6,bomeusdt,TSMOM,21600,60,5,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_compusdt_tsmom_h3_cfg,COMP-TSMOM-H3,compusdt,TSMOM,10800,60,5,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_tiausdt_tsmom_h4_cfg,TIA-TSMOM-H4,tiausdt,TSMOM,14400,30,3,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_fetusdt_tsmom_h6_cfg,FET-TSMOM-H6,fetusdt,TSMOM,21600,60,12,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_bomeusdt_tsmom_h8_cfg,BOME-TSMOM-H8,bomeusdt,TSMOM,28800,45,5,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_injusdt_tsmom_h6_cfg,INJ-TSMOM-H6,injusdt,TSMOM,21600,30,24,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_jupusdt_tsmom_h4_cfg,JUP-TSMOM-H4,jupusdt,TSMOM,14400,45,3,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_uniusdt_tsmom_h4_cfg,UNI-TSMOM-H4,uniusdt,TSMOM,14400,60,5,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_imxusdt_tsmom_h4_cfg,IMX-TSMOM-H4,imxusdt,TSMOM,14400,45,18,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_fetusdt_tsmom_h4_cfg,FET-TSMOM-H4,fetusdt,TSMOM,14400,45,24,3.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_tiausdt_tsmom_h3_cfg,TIA-TSMOM-H3,tiausdt,TSMOM,10800,60,18,3.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_opusdt_tsmom_h2_cfg,OP-TSMOM-H2,opusdt,TSMOM,7200,45,18,3.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_imxusdt_tsmom_h8_cfg,IMX-TSMOM-H8,imxusdt,TSMOM,28800,45,3,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_ldousdt_tsmom_h12_cfg,LDO-TSMOM-H12,ldousdt,TSMOM,43200,60,18,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_enausdt_ichi_h2_cfg,ENA-ICHI-H2,enausdt,ICHIMOKU,7200,45,3,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_uniusdt_tsmom_h12_cfg,UNI-TSMOM-H12,uniusdt,TSMOM,43200,30,5,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_ldousdt_tsmom_h8_cfg,LDO-TSMOM-H8,ldousdt,TSMOM,28800,45,24,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_uniusdt_tsmom_h8_cfg,UNI-TSMOM-H8,uniusdt,TSMOM,28800,60,5,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_avaxusdt_tsmom_h3_cfg,AVAX-TSMOM-H3,avaxusdt,TSMOM,10800,60,8,3.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_crvusdt_tsmom_h12_cfg,CRV-TSMOM-H12,crvusdt,TSMOM,43200,60,24,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_jupusdt_tsmom_h8_cfg,JUP-TSMOM-H8,jupusdt,TSMOM,28800,6,8,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_imxusdt_tsmom_h12_cfg,IMX-TSMOM-H12,imxusdt,TSMOM,43200,60,3,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_manausdt_tsmom_h4_cfg,MANA-TSMOM-H4,manausdt,TSMOM,14400,45,12,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_xlmusdt_tsmom_h4_cfg,XLM-TSMOM-H4,xlmusdt,TSMOM,14400,45,8,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_fetusdt_ichi_h3_cfg,FET-ICHI-H3,fetusdt,ICHIMOKU,10800,6,24,3.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_runeusdt_tsmom_h4_cfg,RUNE-TSMOM-H4,runeusdt,TSMOM,14400,45,18,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_arkmusdt_tsmom_h8_cfg,ARKM-TSMOM-H8,arkmusdt,TSMOM,28800,60,24,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_dotusdt_tsmom_h3_cfg,DOT-TSMOM-H3,dotusdt,TSMOM,10800,45,12,4.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_gmtusdt_tsmom_h12_cfg,GMT-TSMOM-H12,gmtusdt,TSMOM,43200,12,18,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_sandusdt_tsmom_h8_cfg,SAND-TSMOM-H8,sandusdt,TSMOM,28800,45,5,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_uniusdt_tsmom_d1_cfg,UNI-TSMOM-D1,uniusdt,TSMOM,86400,12,3,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_dotusdt_tsmom_h6_cfg,DOT-TSMOM-H6,dotusdt,TSMOM,21600,60,3,4.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_tiausdt_ichi_h3_cfg,TIA-ICHI-H3,tiausdt,ICHIMOKU,10800,6,8,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_injusdt_ichi_h4_cfg,INJ-ICHI-H4,injusdt,ICHIMOKU,14400,60,18,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_imxusdt_tsmom_d1_cfg,IMX-TSMOM-D1,imxusdt,TSMOM,86400,6,3,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_runeusdt_tsmom_h8_cfg,RUNE-TSMOM-H8,runeusdt,TSMOM,28800,12,24,4.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_hbarusdt_tsmom_h4_cfg,HBAR-TSMOM-H4,hbarusdt,TSMOM,14400,60,24,4.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_runeusdt_tsmom_h12_cfg,RUNE-TSMOM-H12,runeusdt,TSMOM,43200,12,24,3.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_dotusdt_tsmom_h12_cfg,DOT-TSMOM-H12,dotusdt,TSMOM,43200,18,3,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_manausdt_tsmom_h8_cfg,MANA-TSMOM-H8,manausdt,TSMOM,28800,18,24,4.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_maskusdt_ichi_h3_cfg,MASK-ICHI-H3,maskusdt,ICHIMOKU,10800,6,24,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_xlmusdt_ichi_h4_cfg,XLM-ICHI-H4,xlmusdt,ICHIMOKU,14400,6,18,3.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_shibusdt_tsmom_h8_cfg,SHIB-TSMOM-H8,shibusdt,TSMOM,28800,60,12,2.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_runeusdt_tsmom_d1_cfg,RUNE-TSMOM-D1,runeusdt,TSMOM,86400,18,3,1.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
s42_runeusdt_ichi_h8_cfg,RUNE-ICHI-H8,runeusdt,ICHIMOKU,28800,18,5,4.0,14,2.0,30.0,22,128,1.0,0.5,3.0,0.25
