tag,symbol,kind,tf,n_bars,blowoff_skips,trades,pf,sharpe,win,mdd_cmp,mdd_bp,cum_bp,cagr,avg_loss_bp,avg_win_bp,worst_bp,max_loss_streak,max_run_loss_bp,n_sl,n_time,n_kill,n_giveback,passes
BTC-TSMOM-D1,btcusdt,TSMOM,1D,1973,0,566,34.691467402119564,8.62822143403377,0.8957597173144877,-0.011101634082687939,-111.42260699081817,86867.58508566993,3.8471687445568987,-43.700440026306126,176.42191528051663,-67.00000000000074,3,-111.4226069908141,53,0,32,481,True
ETH-TSMOM-D1,ethusdt,TSMOM,1D,1973,3,498,59.16037772298888,8.253231271935418,0.9196787148594378,-0.016335416054595653,-164.23607946889388,108913.4079986814,6.140297720548626,-46.81598205801869,241.89093292795252,-67.0000000000006,3,-164.23607946889246,32,0,25,441,True
SOL-TSMOM-D1,solusdt,TSMOM,1D,1973,12,539,155.02404299452166,9.183467142163487,0.9536178107606679,-0.008979749999999953,-90.0,200659.42627368565,34.62499169595821,-52.11119572567578,392.92258009110384,-70.00000000000104,2,-89.99999999999874,22,0,11,506,True
LINK-TSMOM-D1,linkusdt,TSMOM,1D,1973,51,440,84.79464778120094,9.191322382743373,0.9340909090909091,-0.012262846462881005,-122.995633187762,122711.58724989995,8.124289097288145,-50.4976648884406,302.13143438361243,-72.00000000000051,2,-122.9956331877629,28,0,10,402,True
BNB-TSMOM-D1,bnbusdt,TSMOM,1D,1973,14,558,37.22803980349182,7.179962533178719,0.8942652329749103,-0.01916218117244639,-192.84910965323797,111997.04611963671,6.493181527106896,-52.39739796228034,230.63826172226698,-70.00000000000075,3,-192.84910965323908,57,0,22,479,True
BTC-TSMOM-H12,btcusdt,TSMOM,12h,3945,0,1085,13.81146395778198,9.895215631484781,0.8387096774193549,-0.01758771373378043,-177.01608677647891,100787.63940976385,5.292241395872237,-44.95421990442872,119.4006899923505,-67.00000000000078,3,-140.33963983115132,164,0,85,836,True
DOGE-TSMOM-H12,dogeusdt,TSMOM,12h,3945,159,827,49.7919155852791,4.597058440176947,0.8996372430471584,-0.01265488527769143,-127.07107260380872,205307.47650361818,33.90611267921467,-50.696596446128446,281.6065779686113,-72.00000000000095,2,-119.0000000000006,62,0,43,722,True
AVAX-TSMOM-H12,avaxusdt,TSMOM,12h,3945,96,896,61.20946608392052,10.14223116066704,0.921875,-0.013538931420246758,-135.85012695225305,221846.20239311672,52.628622693232096,-52.636764098547324,273.03968024214896,-72.00000000000081,3,-135.85012695226712,59,0,34,803,True
XRP-TSMOM-H6,xrpusdt,TSMOM,6h,7889,69,1887,12.552319121649322,10.326309200853517,0.8108108108108109,-0.028180634129894133,-285.0,216483.35083223644,49.08556642212671,-52.49127333836768,153.74034994381321,-72.0000000000011,5,-284.99999999999886,275,0,175,1437,True
BTC-TSMOM-H6,btcusdt,TSMOM,6h,7889,0,2108,5.4852140067041715,10.4092267515006,0.7670777988614801,-0.041035387805396506,-417.6159440238698,109511.55875755634,6.411317784351359,-49.72734802475779,82.82479074688456,-70.00000000000104,6,-294.5176285495889,434,0,254,1420,True
ETH-TSMOM-H6,ethusdt,TSMOM,6h,7889,0,2108,11.996378067469847,13.788305514332452,0.825426944971537,-0.025152688563148784,-253.38553961907746,179110.0303222494,25.386193926435574,-44.261122701753756,112.29777211292816,-67.00000000000084,4,-216.50164029888538,329,0,197,1582,True
SOL-TSMOM-H6,solusdt,TSMOM,6h,7889,12,2096,28.267162678669976,13.870616820055476,0.8788167938931297,-0.025953914234826847,-262.2484327375714,337736.6820669245,448.57191460581197,-48.76458883203064,190.07757200339827,-70.00000000000104,5,-262.2484327375874,227,0,117,1752,True
BNB-TSMOM-H6,bnbusdt,TSMOM,6h,7889,61,2108,8.041189799164224,11.308691228645744,0.7917457305502846,-0.04482926774505902,-454.7727568116388,153179.11975102263,15.35434443973238,-49.55517317318921,104.81356547276981,-70.00000000000087,5,-257.739212007509,385,0,204,1519,True
