tag,tier,pf,sharpe,trades,rank
ARB-BOLL20k25-H1,STRONG,4.40,3.8,88,1
WIF-BOLL20k25-H1,STRONG,4.10,5.2,101,2
TIA-BOLL30k25-H1,STRONG,3.76,4.0,61,3
FET-BOLL20k25-H1,STRONG,3.76,4.1,102,4
SUI-BOPB-H1,STRONG,3.33,3.7,74,5
LDO-TSMOM-D1,STRONG,3.19,4.0,104,6
APT-BOLL20k25-H1,STANDARD,3.16,3.3,85,7
ARB-BOLL20k20-H1,STRONG,3.04,4.7,189,8
PEPE-BOLL20k25-H1,STRONG,2.97,4.5,130,9
LDO-RSIR14t35-H1,STANDARD,2.91,3.1,70,10
ARB-RSIR14t35-H1,STANDARD,2.83,2.0,60,11
ATOM-TSMOM-D2,STANDARD,2.79,1.8,41,12
OP-RSIR14t35-H1,STANDARD,2.77,3.1,69,13
BOME-ICHI-H1,ELITE,2.72,10.0,975,14
JTO-TSMOM-H1,ELITE,2.60,11.6,1799,15
INJ-BOLL20k25-H1,STANDARD,2.60,3.1,91,16
PEPE-RSIR14t35-H1,STANDARD,2.58,2.7,79,17
LDO-ICHI-H12,STANDARD,2.56,3.1,96,18
RENDER-ICHI-H1,ELITE,2.51,9.9,1070,19
ZRO-TSMOM-H1,ELITE,2.46,12.6,1849,20
SEI-BOLL30k20-H1,STANDARD,2.44,2.7,124,21
TIA-BOLL20k20-H1,STRONG,2.35,4.1,183,22
UNI-BOLL20k20-H1,STRONG,2.31,4.0,183,23
AVAX-TSMOM-D1,STANDARD,2.29,2.5,92,24
JUP-ICHI-H1,ELITE,2.28,9.5,1093,25
DOGE-TSMOM-D1,STANDARD,2.26,2.7,96,26
WIF-BOLL20k20-H1,STRONG,2.25,4.3,210,27
DOGE-BOLL30k20-H2,STANDARD,2.24,2.0,71,28
FET-BOLL20k20-H1,STRONG,2.23,4.0,222,29
LDO-TSMOM-H12,STRONG,2.23,3.6,165,30
NEAR-BOLL20k20-H1,STRONG,2.17,4.2,221,31
INJ-BOLL20k20-H1,STANDARD,2.12,3.3,170,32
JUP-TSMOM-H1,ELITE,2.08,10.5,1705,33
ONDO-TSMOM-D1,STANDARD,2.03,2.3,100,34
LDO-BOLL20k20-H1,STANDARD,2.01,3.1,191,35
ENA-TSMOM-H12,STANDARD,2.00,3.2,138,36
DOGE-ICHI-H8,STANDARD,1.93,3.2,195,37
BOME-TSMOM-H8,STANDARD,1.92,3.3,301,38
OP-BOLL20k20-H1,STANDARD,1.91,3.1,191,39
WIF-TSMOM-H8,STRONG,1.91,4.3,401,40
OP-BOLL20k25-H1,STANDARD,1.90,2.4,93,41
XLM-ICHI-H4,STANDARD,1.86,3.1,334,42
ENA-TSMOM-H4,ELITE,1.84,5.0,611,43
ENA-ICHI-H2,ELITE,1.82,5.7,769,44
SEI-ICHI-H4,STRONG,1.80,3.9,348,45
UNI-BOLL-H2,STANDARD,1.79,2.1,107,46
LDO-TSMOM-H8,STRONG,1.78,3.7,312,47
EIGEN-TSMOM-H8,STRONG,1.78,3.7,286,48
APT-BOLL20k20-H1,STANDARD,1.76,2.7,192,49
ZRO-BOLL30k20-H2,STANDARD,1.75,1.5,61,50
ATOM-BOLL30k25-H1,STANDARD,1.75,1.4,76,51
IMX-TSMOM-H12,STANDARD,1.75,2.5,148,52
ZRO-BOLL20k25-H1,STANDARD,1.75,2.1,101,53
RUNE-TSMOM-D1,STANDARD,1.74,1.6,89,54
ENA-TSMOM-H2,ELITE,1.73,6.0,1010,55
BOME-TSMOM-H3,ELITE,1.73,5.2,895,56
JUP-TSMOM-H8,STANDARD,1.72,3.4,287,57
EIGEN-TSMOM-H4,ELITE,1.71,5.2,638,58
EIGEN-ICHI-H4,STRONG,1.71,4.0,370,59
ZRO-BOLL20k20-H1,STANDARD,1.71,2.7,204,60
TURBO-TSMOM-H4,STRONG,1.70,4.5,757,61
JTO-ICHI-H3,STRONG,1.70,4.0,541,62
FET-TSMOM-H6,STANDARD,1.70,3.0,417,63
FLOKI-ICHI-H8,STANDARD,1.70,2.5,180,64
SUI-TSMOM-D1,STANDARD,1.70,1.8,106,65
PEPE-BOLL20k20-H1,STANDARD,1.68,2.9,242,66
SUI-ICHI-H8,STANDARD,1.68,2.4,184,67
NEAR-BOLL20k25-H1,STANDARD,1.67,1.8,92,68
FET-ICHI-H3,STANDARD,1.67,3.5,516,69
EIGEN-ICHI-H2,ELITE,1.66,5.2,742,70
FLOKI-TSMOM-H4,ELITE,1.66,4.8,753,71
XLM-TSMOM-H4,STRONG,1.66,3.7,572,72
PEPE-TSMOM-H8,STANDARD,1.66,3.1,332,73
MANA-TSMOM-H8,STANDARD,1.66,2.8,325,74
ETHFI-TSMOM-H3,ELITE,1.65,5.3,833,75
RENDER-ICHI-H2,ELITE,1.65,4.9,782,76
RENDER-ICHI-H3,STRONG,1.65,4.2,593,77
ARKM-TSMOM-H4,STRONG,1.65,3.8,484,78
BOME-ICHI-H3,STRONG,1.65,3.7,467,79
BOME-TSMOM-H12,STANDARD,1.65,2.3,194,80
RENDER-ICHI-H4,STRONG,1.64,3.8,458,81
WIF-TSMOM-H4,ELITE,1.63,4.8,822,82
BOME-TSMOM-H4,STRONG,1.63,4.0,681,83
ENA-TSMOM-H3,ELITE,1.62,5.1,809,84
ENA-TSMOM-H6,STRONG,1.62,3.6,389,85
FLOKI-TSMOM-H8,STANDARD,1.62,3.3,377,86
MANA-ICHI-H4,STANDARD,1.62,3.1,392,87
CRV-TSMOM-H12,STANDARD,1.62,2.1,124,88
RENDER-TSMOM-H3,ELITE,1.61,4.8,889,89
JTO-TSMOM-H6,STRONG,1.61,3.6,523,90
TURBO-ICHI-H4,STANDARD,1.61,2.5,261,91
SAND-TSMOM-H8,STANDARD,1.60,2.4,244,92
TURBO-TSMOM-H2,ELITE,1.59,4.7,952,93
JUP-ICHI-H2,STRONG,1.59,4.4,734,94
ZRO-TSMOM-H2,ELITE,1.58,5.8,1325,95
RENDER-TSMOM-H2,ELITE,1.58,5.5,1157,96
IMX-TSMOM-H4,STRONG,1.58,4.1,644,97
ZRO-TSMOM-H12,STANDARD,1.58,1.9,166,98
PYTH-TSMOM-H2,ELITE,1.57,4.9,1064,99
JTO-TSMOM-H3,STRONG,1.57,3.9,755,100
SUI-ICHI-H3,STANDARD,1.57,3.5,539,101
FLOKI-TSMOM-D1,STANDARD,1.57,1.6,100,102
ZRO-TSMOM-H3,ELITE,1.56,5.0,1055,103
FLOKI-TSMOM-H3,STRONG,1.55,4.5,845,104
ZRO-TSMOM-H4,STRONG,1.55,4.4,894,105
WIF-TSMOM-H2,ELITE,1.54,4.9,1113,106
JTO-TSMOM-H2,ELITE,1.54,4.6,1105,107
ZRO-ICHI-H3,STRONG,1.54,3.8,652,108
ARKM-TSMOM-H8,STANDARD,1.54,2.1,227,109
ETHFI-TSMOM-H12,STANDARD,1.54,1.8,211,110
ARB-TSMOM-H4,STRONG,1.53,4.0,630,111
ETHFI-TSMOM-H4,STRONG,1.53,3.9,627,112
DOT-TSMOM-H3,STRONG,1.53,3.9,740,113
IMX-TSMOM-H8,STANDARD,1.53,2.6,311,114
TIA-TSMOM-H3,STRONG,1.52,4.3,831,115
FET-TSMOM-H4,STRONG,1.52,3.7,640,116
INJ-TSMOM-H3,STRONG,1.51,4.5,973,117
FET-TSMOM-H3,STRONG,1.51,3.6,798,118
UNI-TSMOM-H8,STANDARD,1.51,2.6,313,119
RUNE-ICHI-H8,STANDARD,1.51,1.7,160,120
TURBO-TSMOM-H3,STANDARD,1.50,3.5,675,121
EIGEN-TSMOM-H6,STANDARD,1.50,3.2,467,122
RENDER-TSMOM-H6,STANDARD,1.50,2.9,462,123
APT-BOLL30k20-H2,STANDARD,1.50,1.3,78,124
ONDO-ICHI-H2,STANDARD,1.49,3.4,631,125
ZRO-ICHI-H4,STANDARD,1.49,3.1,456,126
ENA-TSMOM-H8,STANDARD,1.49,2.8,380,127
CRV-ICHI-H8,STANDARD,1.49,1.9,178,128
INJ-TSMOM-H4,STRONG,1.48,4.2,860,129
TIA-TSMOM-H4,STANDARD,1.48,3.4,567,130
MANA-TSMOM-H4,STANDARD,1.48,3.4,652,131
MASK-ICHI-H3,STANDARD,1.48,2.7,470,132
FLOKI-ICHI-H4,STANDARD,1.48,2.7,368,133
ARKM-ICHI-H4,STANDARD,1.48,2.5,332,134
SUI-TSMOM-H8,STANDARD,1.48,2.4,322,135
MANA-ICHI-H12,STANDARD,1.48,1.1,91,136
RENDER-TSMOM-H4,STANDARD,1.47,3.5,638,137
COMP-TSMOM-H3,STANDARD,1.47,3.3,858,138
ARB-TSMOM-H3,STRONG,1.46,4.0,852,139
UNI-TSMOM-D1,STANDARD,1.46,1.5,119,140
FET-ICHI-H12,STANDARD,1.46,1.3,83,141
PEPE-TSMOM-H3,STRONG,1.45,3.9,924,142
JUP-ICHI-H3,STANDARD,1.45,3.0,515,143
ONDO-TSMOM-H8,STANDARD,1.45,2.0,259,144
RUNE-TSMOM-H12,STANDARD,1.45,1.9,229,145
IMX-TSMOM-D1,STANDARD,1.45,1.2,108,146
SUI-TSMOM-H3,STRONG,1.44,3.6,825,147
TON-TSMOM-H3,STANDARD,1.44,3.1,748,148
IMX-TSMOM-H6,STANDARD,1.44,2.6,413,149
IMX-ICHI-H4,STANDARD,1.44,2.5,370,150
RENDER-TSMOM-H8,STANDARD,1.44,2.3,324,151
OP-TSMOM-H8,STANDARD,1.44,2.1,256,152
RUNE-TSMOM-H8,STANDARD,1.44,2.1,319,153
SHIB-TSMOM-H8,STANDARD,1.44,1.6,232,154
ETHFI-TSMOM-H2,STRONG,1.43,4.5,1180,155
TIA-TSMOM-H2,STRONG,1.43,4.3,1060,156
JTO-TSMOM-H4,STRONG,1.43,3.6,889,157
JUP-TSMOM-H3,STRONG,1.43,3.6,806,158
ARB-ICHI-H4,STANDARD,1.43,2.7,423,159
JTO-TSMOM-H8,STANDARD,1.43,2.4,437,160
SUI-BOLL20k20-H1,STANDARD,1.43,1.7,187,161
OP-ICHI-H2,STANDARD,1.42,3.3,762,162
NEAR-ICHI-H3,STANDARD,1.42,3.0,591,163
INJ-TSMOM-H6,STANDARD,1.42,2.8,514,164
PYTH-TSMOM-H8,STANDARD,1.42,2.3,323,165
UNI-TSMOM-H12,STANDARD,1.42,2.0,235,166
DOT-TSMOM-H12,STANDARD,1.42,1.8,248,167
EIGEN-ICHI-H3,STANDARD,1.41,2.9,499,168
GMT-TSMOM-H12,STANDARD,1.41,1.4,188,169
ARB-BOLL20k20-H2,STANDARD,1.41,1.0,97,170
LINK-BOLL30k20-H1,STANDARD,1.40,1.5,154,171
OP-TSMOM-H2,STRONG,1.40,3.6,1003,172
OP-TSMOM-H4,STANDARD,1.40,3.4,808,173
HBAR-TSMOM-H4,STANDARD,1.40,3.0,687,174
ETHFI-TSMOM-H6,STANDARD,1.40,2.2,433,175
UNI-TSMOM-H4,STANDARD,1.39,3.1,825,176
RUNE-TSMOM-H4,STANDARD,1.38,2.8,659,177
TIA-ICHI-H3,STANDARD,1.38,2.5,460,178
AVAX-TSMOM-H12,STANDARD,1.38,1.5,218,179
VET-TSMOM-D1,STANDARD,1.38,1.1,99,180
ARB-TSMOM-H2,STRONG,1.37,3.9,1118,181
SUI-TSMOM-H2,STANDARD,1.36,3.3,938,182
JUP-TSMOM-H4,STANDARD,1.36,3.1,728,183
OP-TSMOM-H3,STANDARD,1.36,3.1,849,184
PYTH-TSMOM-H4,STANDARD,1.36,2.8,662,185
PEPE-ICHI-H3,STANDARD,1.36,2.5,544,186
W-TSMOM-H6,STANDARD,1.36,2.0,347,187
PEPE-TSMOM-H12,STANDARD,1.36,1.2,171,188
AVAX-TSMOM-H3,STANDARD,1.35,3.0,895,189
BOME-TSMOM-H6,STANDARD,1.35,2.0,394,190
JUP-TSMOM-D1,STANDARD,1.35,1.1,109,191
DOT-TSMOM-H6,STANDARD,1.34,1.9,364,192
ARKM-TSMOM-H6,STANDARD,1.34,1.8,351,193
JUP-TSMOM-H2,STANDARD,1.33,3.6,1197,194
PEPE-TSMOM-H4,STANDARD,1.33,2.8,849,195
INJ-ICHI-H4,STANDARD,1.32,2.2,425,196
