symbol,funding_time_ms,funding_rate,mark_price
XRPUSDT,1746892800001,0.00010000,2.39700184
XRPUSDT,1746921600000,0.00010000,2.47119075
XRPUSDT,1746950400001,0.00010000,2.35450754
XRPUSDT,1746979200001,0.00003981,2.34631851
XRPUSDT,1747008000004,0.00009125,2.36603689
XRPUSDT,1747036800000,0.00010000,2.41290000
XRPUSDT,1747065600000,0.00010000,2.59343158
XRPUSDT,1747094400000,0.00010000,2.54320000
XRPUSDT,1747123200008,0.00010000,2.49800000
XRPUSDT,1747152000001,0.00010000,2.54277289
XRPUSDT,1747180800007,0.00010000,2.58215829
XRPUSDT,1747209600000,0.00010000,2.61930000
XRPUSDT,1747238400002,0.00010000,2.56020430
XRPUSDT,1747267200000,0.00002801,2.54927338
XRPUSDT,1747296000003,0.00009429,2.45960000
XRPUSDT,1747324800000,0.00000255,2.46492355
XRPUSDT,1747353600001,0.00008604,2.38448338
XRPUSDT,1747382400000,0.00002119,2.40654846
XRPUSDT,1747411200000,0.00008012,2.42207289
XRPUSDT,1747440000000,0.00007415,2.37860000
XRPUSDT,1747468800001,0.00006362,2.37930000
XRPUSDT,1747497600004,0.00002303,2.33190000
XRPUSDT,1747526400000,0.00003270,2.35194031
XRPUSDT,1747555200000,0.00001271,2.39540000
XRPUSDT,1747584000000,-0.00000181,2.43650000
XRPUSDT,1747612800000,0.00006695,2.42700000
XRPUSDT,1747641600006,-0.00002293,2.30460000
XRPUSDT,1747670400010,0.00001248,2.34840263
XRPUSDT,1747699200000,0.00010000,2.37950000
XRPUSDT,1747728000002,0.00010000,2.34644541
XRPUSDT,1747756800000,-0.00003841,2.34100000
XRPUSDT,1747785600000,0.00001786,2.35500000
XRPUSDT,1747814400001,0.00002882,2.34765246
XRPUSDT,1747843200004,0.00007251,2.39890000
XRPUSDT,1747872000001,0.00010000,2.39464158
XRPUSDT,1747900800000,0.00010000,2.40460000
XRPUSDT,1747929600002,0.00010000,2.43184557
XRPUSDT,1747958400006,0.00010000,2.43000000
XRPUSDT,1747987200000,0.00010000,2.42576539
XRPUSDT,1748016000007,0.00000833,2.36060000
XRPUSDT,1748044800010,-0.00003398,2.29530000
XRPUSDT,1748073600000,0.00002279,2.33517921
XRPUSDT,1748102400003,0.00010000,2.35167461
XRPUSDT,1748131200004,0.00007622,2.32910000
XRPUSDT,1748160000000,-0.00005948,2.30658854
XRPUSDT,1748188800000,-0.00006308,2.28648189
XRPUSDT,1748217600000,0.00004896,2.34060000
XRPUSDT,1748246400000,0.00010000,2.34810000
XRPUSDT,1748275200002,0.00010000,2.33140000
XRPUSDT,1748304000003,-0.00005506,2.30904313
XRPUSDT,1748332800001,0.00003185,2.30030000
XRPUSDT,1748361600005,0.00010000,2.33704132
XRPUSDT,1748390400002,0.00010000,2.31580000
XRPUSDT,1748419200003,0.00004546,2.29440000
XRPUSDT,1748448000002,-0.00007080,2.25130000
XRPUSDT,1748476800000,-0.00006466,2.27320000
XRPUSDT,1748505600006,0.00010000,2.27890000
XRPUSDT,1748534400000,0.00010000,2.27570167
XRPUSDT,1748563200003,0.00008959,2.24273947
XRPUSDT,1748592000003,0.00002026,2.18890000
XRPUSDT,1748620800000,0.00001893,2.18230000
XRPUSDT,1748649600000,0.00001570,2.13845829
XRPUSDT,1748678400000,0.00002282,2.12792382
XRPUSDT,1748707200000,0.00000630,2.17182575
XRPUSDT,1748736000001,0.00010000,2.17310000
XRPUSDT,1748764800002,-0.00001650,2.15814724
XRPUSDT,1748793600000,-0.00007471,2.15120825
XRPUSDT,1748822400001,0.00004446,2.17805728
XRPUSDT,1748851200000,0.00010000,2.16260000
XRPUSDT,1748880000000,-0.00002856,2.15830000
XRPUSDT,1748908800000,0.00010000,2.19568882
XRPUSDT,1748937600000,0.00010000,2.18920000
XRPUSDT,1748966400001,0.00010000,2.26282404
XRPUSDT,1748995200000,0.00010000,2.24385057
XRPUSDT,1749024000000,0.00010000,2.23300000
XRPUSDT,1749052800000,0.00009304,2.24844640
XRPUSDT,1749081600016,-0.00002306,2.19980000
XRPUSDT,1749110400000,0.00009042,2.18540000
XRPUSDT,1749139200000,0.00006675,2.19142930
XRPUSDT,1749168000002,-0.00011274,2.09220000
XRPUSDT,1749196800000,-0.00003233,2.12930000
XRPUSDT,1749225600006,0.00008734,2.18360000
XRPUSDT,1749254400000,0.00010000,2.15900000
XRPUSDT,1749283200000,0.00008876,2.18230000
XRPUSDT,1749312000002,0.00008217,2.18200000
XRPUSDT,1749340800000,0.00007688,2.17580333
XRPUSDT,1749369600000,0.00007090,2.20650000
XRPUSDT,1749398400000,0.00010000,2.27660000
XRPUSDT,1749427200000,0.00010000,2.26604197
XRPUSDT,1749456000001,0.00008792,2.22974259
XRPUSDT,1749484800001,-0.00001651,2.26190250
XRPUSDT,1749513600000,0.00010000,2.32020632
XRPUSDT,1749542400001,0.00010000,2.28307333
XRPUSDT,1749571200003,-0.00003862,2.27490000
XRPUSDT,1749600000000,0.00010000,2.30663553
XRPUSDT,1749628800000,0.00010000,2.29223618
XRPUSDT,1749657600010,0.00010000,2.32470000
XRPUSDT,1749686400002,0.00009136,2.26944429
XRPUSDT,1749715200003,0.00000501,2.23855690
XRPUSDT,1749744000001,-0.00000639,2.22740000
XRPUSDT,1749772800000,-0.00002115,2.18880000
XRPUSDT,1749801600001,-0.00007715,2.12800000
XRPUSDT,1749830400004,0.00001421,2.14640000
XRPUSDT,1749859200000,0.00005924,2.14630154
XRPUSDT,1749888000000,-0.00002518,2.16410901
XRPUSDT,1749916800000,0.00005746,2.14834934
XRPUSDT,1749945600005,0.00000732,2.13812250
XRPUSDT,1749974400009,0.00001282,2.15041737
XRPUSDT,1750003200000,0.00006472,2.16340000
XRPUSDT,1750032000000,-0.00001729,2.16440000
XRPUSDT,1750060800000,0.00007058,2.20190680
XRPUSDT,1750089600003,0.00009077,2.28910000
XRPUSDT,1750118400000,0.00010000,2.23768877
XRPUSDT,1750147200006,0.00010000,2.23490000
XRPUSDT,1750176000001,0.00006544,2.17847947
XRPUSDT,1750204800001,0.00003290,2.15810000
XRPUSDT,1750233600001,0.00005644,2.16212096
XRPUSDT,1750262400001,-0.00002341,2.14970000
XRPUSDT,1750291200005,0.00004308,2.16956377
XRPUSDT,1750320000003,0.00010000,2.15554057
XRPUSDT,1750348800000,0.00001495,2.14460250
XRPUSDT,1750377600000,0.00010000,2.16437583
XRPUSDT,1750406400002,0.00003559,2.16590000
XRPUSDT,1750435200001,-0.00000131,2.13252487
XRPUSDT,1750464000002,-0.00001019,2.11850000
XRPUSDT,1750492800005,0.00005379,2.13250000
XRPUSDT,1750521600000,0.00002181,2.11540000
XRPUSDT,1750550400005,-0.00001237,2.06180000
XRPUSDT,1750579200000,0.00010000,2.06760000
XRPUSDT,1750608000003,-0.00000442,1.93343644
XRPUSDT,1750636800000,-0.00002245,2.01634211
XRPUSDT,1750665600004,0.00004191,2.02204224
XRPUSDT,1750694400013,-0.00004243,1.99810000
XRPUSDT,1750723200003,-0.00005895,2.15752039
XRPUSDT,1750752000000,0.00010000,2.17746794
XRPUSDT,1750780800000,0.00010000,2.18730000
XRPUSDT,1750809600005,0.00010000,2.18890000
XRPUSDT,1750838400000,0.00010000,2.18484531
XRPUSDT,1750867200005,0.00009144,2.18060000
XRPUSDT,1750896000000,0.00007592,2.18480000
XRPUSDT,1750924800006,0.00007373,2.18871697
XRPUSDT,1750953600007,0.00005095,2.11890000
XRPUSDT,1750982400000,-0.00000638,2.10475368
XRPUSDT,1751011200000,0.00001132,2.08420000
XRPUSDT,1751040000009,0.00001030,2.09610000
XRPUSDT,1751068800001,-0.00002646,2.14030000
XRPUSDT,1751097600002,0.00009428,2.18970000
XRPUSDT,1751126400000,0.00010000,2.20290000
XRPUSDT,1751155200004,0.00010000,2.18427768
XRPUSDT,1751184000001,0.00006370,2.18350000
XRPUSDT,1751212800001,0.00007670,2.18236939
XRPUSDT,1751241600000,0.00009488,2.20527750
XRPUSDT,1751270400005,0.00008025,2.18586338
XRPUSDT,1751299200002,0.00003027,2.19199596
XRPUSDT,1751328000007,0.00010000,2.23617355
XRPUSDT,1751356800002,0.00010000,2.22300000
XRPUSDT,1751385600000,0.00001379,2.18690000
XRPUSDT,1751414400001,-0.00005510,2.17072500
XRPUSDT,1751443200000,-0.00002455,2.19089311
XRPUSDT,1751472000003,0.00002866,2.21110000
XRPUSDT,1751500800006,0.00010000,2.23291561
XRPUSDT,1751529600003,0.00010000,2.27820000
XRPUSDT,1751558400003,0.00010000,2.24294702
XRPUSDT,1751587200005,0.00010000,2.25600000
XRPUSDT,1751616000003,0.00010000,2.22003890
XRPUSDT,1751644800001,0.00006369,2.21342430
XRPUSDT,1751673600004,0.00000969,2.21940193
XRPUSDT,1751702400009,0.00001442,2.22370000
XRPUSDT,1751731200006,0.00001910,2.22180000
XRPUSDT,1751760000001,0.00000950,2.21646737
XRPUSDT,1751788800002,0.00008892,2.22670000
XRPUSDT,1751817600004,0.00010000,2.27620000
XRPUSDT,1751846400000,0.00010000,2.27017579
XRPUSDT,1751875200007,0.00010000,2.27182535
XRPUSDT,1751904000000,0.00010000,2.33820193
XRPUSDT,1751932800010,0.00007104,2.26950000
XRPUSDT,1751961600003,-0.00004276,2.27407096
XRPUSDT,1751990400000,0.00005323,2.28452592
XRPUSDT,1752019200002,0.00010000,2.30966732
XRPUSDT,1752048000006,0.00010000,2.33070000
XRPUSDT,1752076800001,0.00010000,2.38120000
XRPUSDT,1752105600003,0.00010000,2.40330000
XRPUSDT,1752134400000,0.00010000,2.43616026
XRPUSDT,1752163200004,0.00009462,2.45290000
XRPUSDT,1752192000004,0.00010000,2.54641084
XRPUSDT,1752220800007,0.00010000,2.57904360
XRPUSDT,1752249600001,0.00010000,2.77600000
XRPUSDT,1752278400000,0.00010000,2.73340000
XRPUSDT,1752307200001,0.00010000,2.76782781
XRPUSDT,1752336000002,0.00010000,2.68090000
XRPUSDT,1752364800006,0.00010000,2.73949088
XRPUSDT,1752393600001,0.00010000,2.79900000
XRPUSDT,1752422400003,0.00010000,2.83783982
XRPUSDT,1752451200000,0.00010000,2.83578469
XRPUSDT,1752480000000,0.00010000,2.95653053
XRPUSDT,1752508800000,0.00010000,2.94790000
XRPUSDT,1752537600002,0.00010000,2.95863158
XRPUSDT,1752566400000,0.00010000,2.85302706
XRPUSDT,1752595200000,0.00010000,2.89032443
XRPUSDT,1752624000000,0.00010000,2.92067860
XRPUSDT,1752652800000,0.00010000,2.93020000
XRPUSDT,1752681600008,0.00010000,2.97689184
XRPUSDT,1752710400003,0.00010000,3.03900000
XRPUSDT,1752739200000,0.00010000,3.15700000
XRPUSDT,1752768000000,0.00010000,3.25451728
XRPUSDT,1752796800004,0.00033673,3.48410000
XRPUSDT,1752825600000,0.00030655,3.45967421
XRPUSDT,1752854400000,0.00010000,3.37640000
