openTime,open,high,low,close,volume
1594252800000,2.89300000,3.39800000,2.71000000,2.95600000,814828.58900000
1594339200000,2.95600000,2.97400000,2.76300000,2.92100000,336121.94800000
1594425600000,2.92100000,2.92700000,2.65400000,2.80900000,285697.14800000
1594512000000,2.80600000,2.84300000,2.73000000,2.78000000,267451.59700000
1594598400000,2.78000000,2.84000000,2.50000000,2.54100000,420242.13100000
1594684800000,2.53800000,2.75000000,2.38400000,2.74700000,469580.08100000
1594771200000,2.74700000,3.15000000,2.70400000,3.05000000,708397.18700000
1594857600000,3.05000000,3.25000000,2.78200000,3.09700000,791153.52600000
1594944000000,3.09700000,3.60000000,3.05300000,3.30800000,838226.63600000
1595030400000,3.30700000,3.52000000,3.16900000,3.37100000,381798.32900000
1595116800000,3.38100000,3.53500000,3.28800000,3.29700000,369647.94600000
1595203200000,3.29900000,4.19900000,3.27000000,3.84900000,1475062.96000000
1595289600000,3.84000000,4.02900000,3.34100000,3.47900000,737082.14900000
1595376000000,3.47900000,3.79000000,3.35100000,3.47900000,393948.78500000
1595462400000,3.47900000,3.62000000,3.10000000,3.35000000,420492.04800000
1595548800000,3.34600000,3.62700000,3.23500000,3.33700000,543597.80900000
1595635200000,3.33700000,3.72100000,3.29600000,3.54100000,347211.69400000
1595721600000,3.54200000,3.56500000,3.00000000,3.15500000,658936.94800000
1595808000000,3.15400000,3.22000000,2.67000000,2.86900000,958131.72100000
1595894400000,2.86900000,3.48000000,2.86900000,3.37200000,869146.27000000
1595980800000,3.37200000,3.38600000,3.07000000,3.27300000,542519.37700000
1596067200000,3.27300000,3.68300000,3.26500000,3.54700000,825362.16100000
1596153600000,3.54700000,3.96500000,3.48600000,3.95200000,971801.45500000
1596240000000,3.95100000,4.11100000,3.57700000,3.79300000,1223189.47900000
1596326400000,3.79200000,4.43700000,3.50000000,4.26600000,1298727.70800000
1596412800000,4.26600000,4.38700000,3.89000000,4.14800000,877651.95700000
1596499200000,4.14800000,4.56300000,4.13600000,4.47000000,1021141.21700000
1596585600000,4.46100000,4.69000000,4.28000000,4.33900000,456892.40000000
1596672000000,4.33900000,4.74000000,4.29200000,4.45000000,420306.83100000
1596758400000,4.45100000,4.62700000,4.13000000,4.29700000,331415.65200000
1596844800000,4.29700000,4.45000000,4.20000000,4.34900000,292458.02700000
1596931200000,4.34400000,4.38300000,4.17500000,4.24100000,383272.29000000
1597017600000,4.24300000,5.03900000,4.24300000,4.82200000,851456.17200000
1597104000000,4.81700000,4.89900000,4.17000000,4.87900000,703164.11400000
1597190400000,4.87900000,5.92100000,4.84700000,5.64300000,1561796.63300000
1597276800000,5.64400000,6.00000000,4.73600000,5.07200000,1690119.63900000
1597363200000,5.07000000,6.49500000,4.93000000,6.15000000,2240420.40500000
1597449600000,6.14600000,7.46000000,5.90000000,6.85900000,3868282.05300000
1597536000000,6.85900000,6.88700000,6.10000000,6.40500000,1016350.40600000
1597622400000,6.39800000,6.87500000,6.07200000,6.17700000,1206308.71400000
1597708800000,6.15600000,6.68000000,5.51900000,6.14500000,1375748.45400000
1597795200000,6.14600000,6.40900000,5.40000000,6.09100000,1880672.80100000
1597881600000,6.09200000,6.77000000,6.06100000,6.17500000,1595979.89300000
1597968000000,6.17600000,6.27000000,5.21000000,5.31500000,1307457.17500000
1598054400000,5.32400000,6.04800000,5.10600000,5.83100000,1029008.02100000
1598140800000,5.82900000,5.89100000,5.34400000,5.67800000,794637.67200000
1598227200000,5.68800000,6.30000000,5.53500000,6.23100000,937828.10000000
1598313600000,6.23900000,6.57000000,5.50000000,5.86700000,1379764.44100000
1598400000000,5.85900000,6.45000000,5.82300000,6.12100000,1219594.48500000
1598486400000,6.12100000,6.43000000,5.86000000,6.09300000,1294103.66600000
1598572800000,6.09200000,7.11200000,6.00400000,6.86600000,2318789.97100000
1598659200000,6.86600000,7.00000000,6.46600000,6.52900000,970916.60300000
1598745600000,6.52000000,7.41500000,6.50000000,7.30100000,1749192.33300000
1598832000000,7.30000000,7.56800000,6.90700000,7.33600000,1843068.04200000
1598918400000,7.33600000,7.88000000,7.08400000,7.10400000,2063482.57200000
1599004800000,7.10300000,7.20000000,5.90000000,6.38300000,1645387.15200000
1599091200000,6.37300000,6.58500000,5.02800000,5.25500000,1770506.30400000
1599177600000,5.25600000,5.78800000,4.70600000,5.33200000,1518282.10100000
1599264000000,5.32100000,7.00000000,3.65000000,4.47200000,2327734.69900000
1599350400000,4.47700000,5.21200000,4.10000000,4.95500000,1719299.51600000
1599436800000,4.95100000,5.06500000,4.10400000,4.64400000,1166952.75500000
